date,gold_price_usd
2025-08-18,3348.525
2025-08-19,3338.18
2025-08-20,3326.025
2025-08-21,3339.265
2025-08-22,3328.38
2025-08-23,3371.96
2025-08-24,3371.96
2025-08-25,3362.56
2025-08-26,3374.61
2025-08-27,3382.715
2025-08-28,3398.995
2025-08-29,3408.725
2025-08-30,3448.265
